"Value","Frequency"
"4 SEASONS OUTDOOR",16
"4MOMS",10
"7 FOR ALL MANKIND",1
"AARKE",3
"AB AUDIO",5
"ABC",12
"ACANA",2
"ACCTIM",3
"ACER",1
"ACQUA DI PARMA",4
"ADIDAS",8
"ADRIANNA PAPELL",1
"AEG",20
"AESOP",7
"ALADDIN",1
"ALBETTA",3
"ALESSI",8
"ALLSAINTS",8
"ALLSORTED",1
"ALPHASON",4
"AMAZON",17
"AMERICAN TOURISTER",2
"AND OR",10
"ANDA SEAT",1
"ANDEA",1
"ANGEL ROCKET",1
"ANGELCARE",19
"ANGLEPOISE",26
"ANYDAY RETAILER",2324
"ANYSHARP",1
"APPLE",76509
"APPLE SMART",1
"AQUALONA",1
"ARMANI EXCHANGE",2
"ART FILE",1
"ARTHUR PRICE",10
"ARTSTONE",1
"ASTRO",8
"ASUS",18
"AURORA WORLD",1
"AUSTERE",1
"AVEDA",7
"AVF",107
"BABABING",9
"BABABING!",7
"BABY BREZZA",2
"BABY EINSTEIN",7
"BABY JOGGER",13
"BABYBJ RN",35
"BABYBJÖRN",2
"BABYDAN",12
"BABYLISS",6
"BABYMEL",5
"BABYMOOV",8
"BABYZEN",82
"BAJEN",1
"BAKER TAYLOR",3
"BANG OLUFSEN",9
"BAR BESPOKE",1
"BARBOUR",11
"BARLOW TYRIE",3
"BARTS",1
"BATMAN",1
"BAY LIGHTING",20
"BBHUGME",5
"BEABA",4
"BEATS",31
"BELKIN",36
"BENEFIT",5
"BERTIE & JACK",1
"BESAFE",5
"BEURER",1
"BIA",1
"BIALETTI",12
"BIG GREEN EGG",84
"BINIBAMBA",3
"BIRKENSTOCK",1
"BISSELL",1
"BLANCO",3
"BLISSHOME",3
"BLOOMINGVILLE",3
"BLUEAIR",2
"BLUEBELLA",1
"BLUEBELLGRAY",4
"BOBBI BROWN",5
"BODEN",4
"BODUM",3
"BODY CLOCK HEALTH CARE LTD",1
"BONDS",1
"BOORI",29
"BORDALLO PINHEIRO",1
"BOSCH",10
"BOSE",61
"BRABANTIA",66
"BRAKEBURN",1
"BRAUN",21
"BRAVADO",3
"BREVILLE",7
"BRIGGS RILEY",1
"BRIGHT STARTS",2
"BRITA",5
"BRITAX",2
"BRONTE BY MOON",9
"BRORA",1
"BROTHER",12
"BT",38
"BUGABOO",342
"BUMBLE AND BUMBLE",1
"BURGON & BALL",1
"BURT S BEES",2
"BUSY B",2
"CALEX",16
"CALVIN KLEIN",10
"CAMELBAK",2
"CANON",7
"CARDS AGAINST HUMANITY",1
"CARHARTT WIP",1
"CAROLINE GARDNER",4
"CASE",15
"CASIO",1
"CELESTRON",2
"CHANEL",13
"CHAR-BROIL",5
"CHARBONNEL ET WALKER",3
"CHARLES KEITH",1
"CHARLES TYRWHITT",1
"CHARLOTTE TILBURY",17
"CHEEKY RASCALS",6
"CHEM-DRY",1
"CHICCO",65
"CHILLY S",2
"CHIOSTRO DI SARONNO",2
"CHRISTY",3
"CIRCULON",6
"CITIZEN",1
"CLAIR DE LUNE",1
"CLARINS",16
"CLARKS",1
"CLINIQUE",7
"CLIPPASAFE",1
"COACH",1
"COCCINELLE",1
"COCOBA",1
"COLE & MASON",2
"COLE & SON",1
"COLE MASON",4
"COLE SON",1
"COLEFAX AND FOWLER",1
"COLEMAN",1
"COMPACTOR",2
"CONNUBIA BY CALLIGARIS",3
"CONTENT BY TERENCE CONRAN",17
"CONVERSE",1
"COTTON ON",1
