"Value","Frequency","average_fraud_flag"
"2HP ELITEBOOK 850V6",2,0
"2LOGITECH PEBBLE M350 BLUETOOTH MOUSE",2,0
"2MICROSOFT OFFICE HOME AND STUDENT 2019,",2,0
"2TARGUS GEOLITE ESSENTIAL CASE",2,0
"2TOSHIBA PORTABLE HARD DRIVE",2,0
"6  SPACE GREY 32GB",12,0
"AERIALS REMOTE CONTROLS",1,0
"APPLE PRODUCTDESCRIPTION",4,0
"APPLE S",1,0
"AUDIO ACCESSORIES",1670,0.0476
"BABY & CHILD TRAVEL",254,0
"BABY CHANGING",336,0.018
"BABY CHILD TRAVEL",1161,0.0203
"BABY FEEDING",442,0.011
"BABY PLAY EQUIPMENT",56,0.0222
"BABYWEAR",291,0.0288
"BAGS & CARRY CASES",99,0
"BAGS CARRY CASES",1051,0.0019
"BAGS WALLETS ACCESSORIES",35,0
"BAGS, WALLETS & ACCESSORIES",7,0
"BARBECUES & ACCESSORIES",161,0
"BARBECUES ACCESSORIES",366,0.0043
"BARWARE",41,0.0667
"BATH & BODYCARE",5,0
"BATH BODYCARE",30,0
"BATH LINEN",353,0.0179
"BATHROOM",1,0
"BATHROOM ACCESSORIES",268,0.0121
"BATHROOM FIXTURES",64,0
"BED LINEN",2255,0.007
"BEDROOM FURNITURE",4798,7e-04
"BLANK MEDIA & MEDIA STORAGE",1,0
"BLANK MEDIA MEDIA STORAGE",17,0.0588
"BOOKS",11,0
"BOYSWEAR",40,0
"CABLES & ADAPTERS",113,0
"CABLES ADAPTERS",1452,0.0022
"CARPETS RUGS FLOORING",351,0.0038
"CARPETS, RUGS & FLOORING",86,0.0274
"CHILDREN S ACCESSORIES",8,0
"CHILDREN S FOOTWEAR",20,0
"CHILDREN S FURNITURE",7,0
"CHILDRENS FOOTWEAR",1,0
"CHRISTMAS DECORATIONS",37,0
"COMPUTER NETWORKING",2,0
"COMPUTER PERIPHERALS & ACCESSORIES",2769,0.0016
"COMPUTER PERIPHERALS ACCESSORIES",17418,0.0037
