"Value","Frequency","average_fraud_flag"
"1-1-142257",1,0
"10000R",1,0
"10907",1,0
"10914",1,0
"11317",1,0
"11630",1,0
"121825-1212",1,0
"2019 APPLE AIRPODS WITH CHARGING CASE",245,0.0122
"2019 APPLE AIRPODS WITH CHARGING CASE 2ND GENERATI",77,0.0779
"2019 APPLE AIRPODS WITH WIRELESS CHARGING CASE",30,0.0333
"2019 APPLE AIRPODS WITH WIRELESS CHARGING CASE 2ND",5,0
"2019 APPLE MACBOOK PRO 16",2,0
"2019 APPLE MACBOOK PRO 16 TOUCH BAR INTEL CORE I7",99,0.101
"2019 APPLE MACBOOK PRO 16 TOUCH BAR INTEL CORE I9",306,0.0852
"2019 APPLE MACBOOK PRO 16""",237,0.0464
"2020 APPLE IMAC 21 5 ALL-IN-ONE INTEL CORE I5 8GB",187,0.0053
"2020 APPLE IMAC 21.5 ALL-IN-ONE",33,0
"2020 APPLE IMAC 27 ALL-IN-ONE",165,0.0121
"2020 APPLE IMAC 27 ALL-IN-ONE INTEL CORE I5 8GB RA",235,0.0085
"2020 APPLE IMAC 27 ALL-IN-ONE INTEL CORE I7 8GB RA",223,0.0224
"2020 APPLE IMAC PRO 27 ALL-IN-ONE",18,0
"2020 APPLE IMAC PRO 27 ALL-IN-ONE INTEL XEON W 32G",5,0
"2020 APPLE IPAD 10 2 128GB SILVER",1,0
"2020 APPLE IPAD 10 2 128GB SPACE GREY",6,0
"2020 APPLE IPAD 10 2 32GB GOLD",7,0
"2020 APPLE IPAD 10 2 32GB SPACE GREY",2,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB GOLD",26,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB SILVER",20,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB SPACE",66,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB GOLD",40,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB SILVER",45,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB SPACE G",58,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI CELLULAR 128",6,0
"2020 APPLE IPAD 10 2 A12 IPADOS WI-FI CELLULAR 32G",2,0
"2020 APPLE IPAD 10.2"" 128GB CELLULAR SPACE GREY",3,0
"2020 APPLE IPAD 10.2"" 128GB GOLD",41,0
"2020 APPLE IPAD 10.2"" 128GB SILVER",10,0
"2020 APPLE IPAD 10.2"" 128GB SPACE GREY",41,0
"2020 APPLE IPAD 10.2"" 32GB GOLD",49,0
"2020 APPLE IPAD 10.2"" 32GB SILVER",14,0
"2020 APPLE IPAD 10.2"" 32GB SPACE GREY",22,0
"2020 APPLE IPAD AIR 10 9",5,0
"2020 APPLE IPAD AIR 10 9 A14 BIONIC PROCESSOR IOS",2669,0.003
"2020 APPLE IPAD AIR 10.9""",815,0.0062
"2020 APPLE IPAD PRO 11",4,0
"2020 APPLE IPAD PRO 11 A12Z BIONIC IOS WI-FI 128GB",2,0
"2020 APPLE IPAD PRO 11 A12Z BIONIC IOS WI-FI 1TB S",6,0
"2020 APPLE IPAD PRO 11 A12Z BIONIC IOS WI-FI 512GB",12,0
"2020 APPLE IPAD PRO 11 A12Z BIONIC IOS WI-FI CELLU",28,0.0357
"2020 APPLE IPAD PRO 11""",265,0.0189
"2020 APPLE IPAD PRO 12 9",3,0
"2020 APPLE IPAD PRO 12 9 A12Z BIONIC IOS WI-FI 128",13,0
"2020 APPLE IPAD PRO 12 9 A12Z BIONIC IOS WI-FI 1TB",17,0
"2020 APPLE IPAD PRO 12 9 A12Z BIONIC IOS WI-FI 256",2,0
"2020 APPLE IPAD PRO 12 9 A12Z BIONIC IOS WI-FI 512",31,0
"2020 APPLE IPAD PRO 12.9""",401,0.0274
"2020 APPLE MAC MINI DESKTOP COMPUTER",68,0
"2020 APPLE MAC MINI DESKTOP COMPUTER M1 PROCESSOR",372,0.0323
"2020 APPLE MACBOOK AIR",2024,0.0069
"2020 APPLE MACBOOK AIR 13 3 RETINA DISPLAY M1 PROC",13141,0.0119
"2020 APPLE MACBOOK PRO",1030,0.0272
"2020 APPLE MACBOOK PRO 13",1,0
"2020 APPLE MACBOOK PRO 13 TOUCH BAR INTEL CORE I5",795,0.0694
"2020 APPLE MACBOOK PRO 13 TOUCH BAR M1 PROCESSOR 8",5332,0.0324
"2020 APPLE MACBOOK PRO 13""",246,0.0407
"2021 APPLE AIRPODS WITH MAGSAFE CHARGING CASE",13,0
"2021 APPLE AIRPODS WITH MAGSAFE CHARGING CASE 3RD",150,0.04
"2021 APPLE IMAC 23.5"" ALL-IN-ONE",26,0
"2021 APPLE IMAC 24 ALL-IN-ONE",24,0
"2021 APPLE IMAC 24 ALL-IN-ONE M1 PROCESSOR 8GB RA",11,0
"2021 APPLE IMAC 24 ALL-IN-ONE M1 PROCESSOR 8GB RAM",2428,0.0087
"2021 APPLE IPAD 10 2 A13 BIONIC PROCESSOR IPADOS W",161,0.0316
"2021 APPLE IPAD MINI 8 3 A15 BIONIC PROCESSOR IPAD",305,0.0169
"2021 APPLE IPAD PRO 11",9,0
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 128G",2304,0.031
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 1TB",44,0.0455
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 256G",943,0.016
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 2TB",8,0.25
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 512G",117,0.0256
"2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI CELL",298,0.1074
